,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist,assist2,assist3,assist_state_of_play
143,103.7,31.8,2023-04-22 00:03:24.870,0.056106947000000004,Off T,Esme Beth Morgan,Manchester City WFC,Right Foot,Normal,True,Open Play,,,,From Corner
144,107.2,58.3,2023-04-22 00:16:00.201,0.010775562,Off T,Chloe Kelly,Manchester City WFC,Right Foot,Normal,False,Open Play,Low Pass,,,From Corner
145,111.9,45.6,2023-04-22 00:21:28.665,0.059216756,Off T,Laia Aleixandri López,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
146,112.0,39.4,2023-04-22 00:23:10.340,0.10834173,Off T,Khadija Monifa Shaw,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
147,113.6,37.2,2023-04-22 00:26:13.877,0.18556362,Goal,Lauren Hemp,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
148,113.5,49.6,2023-04-22 00:28:37.522,0.15853661,Saved,Hayley Emma Raso,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
149,108.1,40.1,2023-04-22 00:32:59.390,0.7835000000000001,Saved,Alex Greenwood,Manchester City WFC,Left Foot,Normal,False,Penalty,,,,From Corner
150,114.7,32.2,2023-04-22 00:33:01.406,0.31971768,Goal,Khadija Monifa Shaw,Manchester City WFC,Left Foot,Normal,True,Open Play,,,,From Corner
151,101.1,56.2,2023-04-22 00:35:55.085,0.020032637000000002,Blocked,Missy Goodwin,Leicester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
152,100.4,49.8,2023-04-22 00:42:05.540,0.04887508,Goal,Yui Hasegawa,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
153,104.8,51.1,2023-04-22 00:44:54.165,0.0796501,Blocked,Khadija Monifa Shaw,Manchester City WFC,Left Foot,Normal,False,Open Play,High Pass,,,From Corner
154,102.9,46.5,2023-04-22 00:45:41.367,0.21014485,Saved,Hayley Emma Raso,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
155,68.8,40.1,2023-04-22 00:46:33.245,0.0051950137,Off T,Natasha Jane Flint,Leicester City WFC,Right Foot,Lob,False,Open Play,Ground Pass,,,From Corner
156,91.0,39.6,2023-04-22 00:01:30.386,0.023782702000000003,Off T,Frida Maanum,Manchester City WFC,Right Foot,Normal,False,Open Play,,,,From Corner
157,116.7,36.9,2023-04-22 00:03:05.915,0.62613934,Goal,Lauren Hemp,Manchester City WFC,Left Foot,Half Volley,True,Open Play,Low Pass,,,From Corner
158,114.9,29.7,2023-04-22 00:06:23.808,0.09095456,Off T,Caitlin Jade Foord,Arsenal WFC,Left Foot,Volley,True,Open Play,High Pass,,,From Corner
159,92.7,41.4,2023-04-22 00:09:55.701,0.031449426,Saved,Kim Little,Arsenal WFC,Right Foot,Normal,False,Open Play,,,,From Corner
160,109.1,33.1,2023-04-22 00:11:11.190,0.054788925,Wayward,Khadija Monifa Shaw,Manchester City WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
161,100.4,58.1,2023-04-22 00:17:14.225,0.0139399115,Off T,Yui Hasegawa,Manchester City WFC,Right Foot,Half Volley,True,Open Play,,,,From Corner
162,112.8,32.7,2023-04-22 00:22:03.904,0.14745256,Off T,Laia Aleixandri López,Manchester City WFC,Left Foot,Half Volley,True,Open Play,Low Pass,,,From Corner
163,107.7,46.5,2023-04-22 00:25:48.871,0.46585697000000004,Saved,Khadija Monifa Shaw,Manchester City WFC,Right Foot,Normal,False,Open Play,,,,From Corner
164,111.3,55.9,2023-04-22 00:27:04.752,0.029694319,Saved,Chloe Kelly,Arsenal WFC,Right Foot,Normal,False,Open Play,,,,From Corner
165,97.9,27.5,2023-04-22 00:28:26.942,0.027609276000000002,Saved,Ingrid Filippa Angeldal,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
166,109.5,57.7,2023-04-22 00:35:33.580,0.013277972,Blocked,Chloe Kelly,Manchester City WFC,Right Foot,Half Volley,False,Open Play,High Pass,,,From Corner
